Item,Type,Weight (Grams),Qty.,Unit,Source,URL (Europe),Price (unit),Price (total),Part/Assembly Number,Notes
M5 Button Head Allen Bolt 10mm,Fixings,5,4,pcs,Aliexpress,"https://fr.aliexpress.com/item/4000027503852.html?spm=a2g0o.productlist.0.0.16227be2aUeIm8&algo_pvid=bad4ec54-d627-4d83-8a71-8ff25e8ba337&algo_expid=bad4ec54-d627-4d83-8a71-8ff25e8ba337-20&btsid=2100bdd716046191697687624ec00d&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",,1.05,,
M5 Nylon Lock Nut,Fixings,10,8,pcs,Aliexpress,"https://fr.aliexpress.com/item/32895838451.html?spm=a2g0o.productlist.0.0.16227be2aUeIm8&algo_pvid=bad4ec54-d627-4d83-8a71-8ff25e8ba337&algo_expid=bad4ec54-d627-4d83-8a71-8ff25e8ba337-25&btsid=2100bdd716046191697687624ec00d&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",,2.59,,
M5 Washer,Fixings,5,16,pcs,Aliexpress,"https://fr.aliexpress.com/item/4001297092416.html?spm=a2g0o.productlist.0.0.389a19eeQ7ooAm&algo_pvid=18ba5d2b-5acc-44ce-8db5-4981cb31e69d&algo_expid=18ba5d2b-5acc-44ce-8db5-4981cb31e69d-1&btsid=0b0a01f816046208994052276e42c6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",,0.88,,
M3 Cone Allen Bolt 15mm,Fixings,,1,lot,Aliexpress,"https://fr.aliexpress.com/item/33009219896.html?spm=a2g0o.productlist.0.0.16227be2aUeIm8&algo_pvid=bad4ec54-d627-4d83-8a71-8ff25e8ba337&algo_expid=bad4ec54-d627-4d83-8a71-8ff25e8ba337-31&btsid=2100bdd716046191697687624ec00d&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",,1.54,,
M3 Nut,Fixings,,1,lot,Aliexpress,"https://fr.aliexpress.com/item/32799892197.html?spm=a2g0o.productlist.0.0.563d1fe57mIzY7&algo_pvid=53563196-ec92-4fef-becc-894d60863d84&algo_expid=53563196-ec92-4fef-becc-894d60863d84-8&btsid=2100bb4c16046205307644071e2c7a&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",,0.53,,
30 x 30 x 3mm Steel Box Tube,Steel,1619.1,630,mm,,,0.01 €,4.17,Tee Front,
30 x 30 x 3mm Steel Box Tube,Steel,1464.9,570,mm,,,0.01 €,3.77,Tee Body,
30 x 60 x 3mm Steel Box Tube,Steel,3355.3,890,mm,,,0.01 €,10.75,Vertical,
30 x 30 x 3mm Steel Box Tube,Steel,2570,1000,mm,,,0.01 €,6.62,Pull leaver,
24 x 24x 3mm Stainless Steel Box Tube,Steel,1028,400,mm,,,0.02 €,8.00,Pull leaver,
32OD 26ID 3mm Steel Round Tube,Steel,1092,540,mm,,,,20.00,,
